timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_1_loss,path_2_loss,total_loss
87,120.0380768963483,path_1,12.0,path_1,12.02,path_1,12.0,path_1,12.0,path_1,12.0,path_1,12.0,path_1,12.02,path_1,12.0,path_1,12.0,path_1,12.0,110.04,0,0.0,0.0,0.0
88,130.0380768963483,path_1,13.0,path_1,13.02,path_1,13.0,path_1,13.0,path_1,13.0,path_1,13.0,path_1,13.02,path_1,13.0,path_1,13.0,path_1,13.0,120.04,0,0.0,0.0,0.0
89,140.0380768963483,path_1,14.0,path_1,14.02,path_1,14.0,path_1,14.0,path_1,14.0,path_1,14.0,path_1,14.02,path_1,14.0,path_1,14.0,path_1,14.0,130.04,0,0.0,0.0,0.0
90,150.0380768963483,path_1,15.0,path_1,15.02,path_1,15.0,path_1,15.0,path_1,15.0,path_1,15.0,path_1,15.02,path_1,15.0,path_1,15.0,path_1,15.0,140.04,0,0.0,0.0,0.0
91,160.0380768963483,path_1,16.0,path_1,16.02,path_1,16.0,path_1,16.0,path_1,16.0,path_1,16.0,path_1,16.02,path_1,16.0,path_1,16.0,path_1,16.0,150.04,0,0.0,0.0,0.0
92,170.0380768963483,path_1,17.0,path_1,17.02,path_1,17.0,path_1,17.0,path_1,17.0,path_1,17.0,path_1,17.02,path_1,17.0,path_1,17.0,path_1,17.0,160.04,0,0.0,0.0,0.0
93,180.0380768963483,path_1,18.0,path_1,18.02,path_1,18.0,path_1,18.0,path_1,18.0,path_1,18.0,path_1,18.02,path_1,18.0,path_1,18.0,path_1,18.0,170.04,0,0.0,0.0,0.0
94,190.0380768963483,path_1,19.0,path_1,19.02,path_1,19.0,path_1,19.0,path_1,19.0,path_1,19.0,path_1,19.02,path_1,19.0,path_1,19.0,path_1,19.0,180.04,0,0.0,0.0,0.0
95,200.0380768963483,path_1,20.0,path_1,20.02,path_1,20.0,path_1,20.0,path_1,20.0,path_1,20.0,path_1,20.02,path_1,20.0,path_1,20.0,path_1,20.0,190.04,0,0.0,0.0,0.0
96,100.01903844817414,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,200.04,0,0.04,0.0,0.04
97,110.01903844817414,path_1,11.0,path_1,11.01,path_1,11.0,path_1,11.0,path_1,11.0,path_1,11.0,path_1,11.01,path_1,11.0,path_1,11.0,path_1,11.0,100.02,0,0.0,0.0,0.0
98,120.01903844817414,path_1,12.0,path_1,12.01,path_1,12.0,path_1,12.0,path_1,12.0,path_1,12.0,path_1,12.01,path_1,12.0,path_1,12.0,path_1,12.0,110.02,0,0.0,0.0,0.0
99,130.01903844817414,path_1,13.0,path_1,13.01,path_1,13.0,path_1,13.0,path_1,13.0,path_1,13.0,path_1,13.01,path_1,13.0,path_1,13.0,path_1,13.0,120.02,0,0.0,0.0,0.0
100,140.01903844817414,path_1,14.0,path_1,14.01,path_1,14.0,path_1,14.0,path_1,14.0,path_1,14.0,path_1,14.01,path_1,14.0,path_1,14.0,path_1,14.0,130.02,0,0.0,0.0,0.0
101,150.01903844817414,path_1,15.0,path_1,15.01,path_1,15.0,path_1,15.0,path_1,15.0,path_1,15.0,path_1,15.01,path_1,15.0,path_1,15.0,path_1,15.0,140.02,0,0.0,0.0,0.0
102,160.01903844817414,path_1,16.0,path_1,16.01,path_1,16.0,path_1,16.0,path_1,16.0,path_1,16.0,path_1,16.01,path_1,16.0,path_1,16.0,path_1,16.0,150.02,0,0.0,0.0,0.0
103,170.01903844817414,path_1,17.0,path_1,17.01,path_1,17.0,path_1,17.0,path_1,17.0,path_1,17.0,path_1,17.01,path_1,17.0,path_1,17.0,path_1,17.0,160.02,0,0.0,0.0,0.0
104,180.01903844817414,path_1,18.0,path_1,18.01,path_1,18.0,path_1,18.0,path_1,18.0,path_1,18.0,path_1,18.01,path_1,18.0,path_1,18.0,path_1,18.0,170.02,0,0.0,0.0,0.0
105,190.01903844817414,path_1,19.0,path_1,19.01,path_1,19.0,path_1,19.0,path_1,19.0,path_1,19.0,path_1,19.01,path_1,19.0,path_1,19.0,path_1,19.0,180.02,0,0.0,0.0,0.0
106,200.01903844817414,path_1,20.0,path_1,20.01,path_1,20.0,path_1,20.0,path_1,20.0,path_1,20.0,path_1,20.01,path_1,20.0,path_1,20.0,path_1,20.0,190.02,0,0.0,0.0,0.0
107,100.00951922408707,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,200.02,0,0.02,0.0,0.02
108,110.00951922408707,path_1,11.0,path_1,11.0,path_1,11.0,path_1,11.0,path_1,11.0,path_1,11.0,path_1,11.0,path_1,11.0,path_1,11.0,path_1,11.0,100.01,0,0.0,0.0,0.0
109,120.00951922408707,path_1,12.0,path_1,12.0,path_1,12.0,path_1,12.0,path_1,12.0,path_1,12.0,path_1,12.0,path_1,12.0,path_1,12.0,path_1,12.0,110.01,0,0.0,0.0,0.0
110,130.0095192240871,path_1,13.0,path_1,13.0,path_1,13.0,path_1,13.0,path_1,13.0,path_1,13.0,path_1,13.0,path_1,13.0,path_1,13.0,path_1,13.0,120.01,0,0.0,0.0,0.0
111,140.0095192240871,path_1,14.0,path_1,14.0,path_1,14.0,path_1,14.0,path_1,14.0,path_1,14.0,path_1,14.0,path_1,14.0,path_1,14.0,path_1,14.0,130.01,0,0.0,0.0,0.0
112,150.0095192240871,path_1,15.0,path_1,15.0,path_1,15.0,path_1,15.0,path_1,15.0,path_1,15.0,path_1,15.0,path_1,15.0,path_1,15.0,path_1,15.0,140.01,0,0.0,0.0,0.0
113,160.0095192240871,path_1,16.0,path_1,16.0,path_1,16.0,path_1,16.0,path_1,16.0,path_1,16.0,path_1,16.0,path_1,16.0,path_1,16.0,path_1,16.0,150.01,0,0.0,0.0,0.0
114,170.0095192240871,path_1,17.0,path_1,17.0,path_1,17.0,path_1,17.0,path_1,17.0,path_1,17.0,path_1,17.0,path_1,17.0,path_1,17.0,path_1,17.0,160.01,0,0.0,0.0,0.0
